BFS,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34
1707,0.0006353240152477764,48.378653113087694,0.24777636594663277,0.22490470139771285,1.6622073578595318,0.6080154514727185,0.3475222363405337,6.045150501672241,41345.0,78049.99999999972,2011.0,2000.0,1882.5,2997.0,2.0,5.0,2249.4,11152.75,1218.5,2407.1,1.5749682337992377,3.0,4.0,6.0,758000.0,1644000.0,1985.0,1907.0,5.247776365946633,1.0,1123.0749999999998,9057.814999999986,439.15,1324.75
1708,0.003543586109142452,51.995747696669014,0.2508858965272856,0.22820694542877393,1.6956521739130435,0.14494093477144324,0.34727143869596033,6.212475633528265,39174.41860465116,74000.0,2011.0,2001.0,1798.0,2993.0,2.0,5.0,1899.525,12396.682499999988,1216.3,2669.1,1.634301913536499,3.5,4.0,6.149999999999977,714000.0,1348400.0,1981.0,1903.0,5.195605953224663,1.0,1010.0999999999999,5472.0625,438.375,1259.025
1711,0.001232589670898558,54.04141501294225,0.19511894490324172,0.247010970048071,1.621212121212121,0.2722117836532009,0.36866757056575866,5.985645933014354,45694.980694980695,98000.0,2011.0,1999.0,1968.0,3498.0,2.0,6.0,1827.95,11670.930000000006,1286.4,2943.9,1.6876617773943055,4.0,3.5,5.5,735000.0,2133499.999999998,1970.0,1900.0,5.95735239738691,1.0,1100.0,8498.0,437.8,1477.8
2125,0.0025005683109797683,49.38235962718795,0.2948397363037054,0.18867924528301888,1.646678966789668,0.1953114593970608,0.4382814275971812,6.002692514808832,31961.991434689506,59000.0,2011.0,2001.0,1587.0,2488.0,2.0,6.0,1935.15,11886.980000000001,1290.8,2520.6000000000004,1.7456240054557854,3.0,3.5,5.5,567000.0,1055000.0,1998.0,1932.15,5.180722891566265,1.0,959.5,7408.9,422.65,1333.5349999999994
2196,0.003800904977375566,50.22027149321275,0.16868778280542987,0.19619909502262445,1.635667396061269,0.14229055602771123,0.42914027149321265,6.058168316831683,31683.536585365855,58000.0,2011.0,1999.0,1591.0,2494.0,2.0,6.0,1661.4,9618.894999999997,1147.9,2157.8799999999997,1.5419004524886877,3.0,3.5,5.5,602000.0,1193200.0,1972.0,1800.0,6.3933031674208145,1.0,919.2249999999999,7020.182499999988,369.275,1145.7274999999995
2228,0.004281345565749235,53.42568807339444,0.309480122324159,0.19143730886850152,1.648,0.13481200527704484,0.40244648318042814,6.276629570747218,33184.83412322275,61399.99999999998,2011.0,2001.0,1591.0,2494.8999999999996,2.0,5.0,1747.65,10848.4875,1202.6,2281.06,1.5724770642201835,3.0,3.5,6.5,603000.0,1102299.9999999995,1982.0,1939.0,5.014067278287461,1.0,1014.5,9695.067499999997,456.4,1507.8300000000004
2275,0.0028178936245156746,53.11694258541729,0.41951391334977106,0.18738992603029236,1.7187993680884677,0.34757590597453475,0.37900669249735824,6.048679867986799,34681.96721311475,65000.0,2010.0,1999.0,1598.0,2953.749999999999,2.0,5.7999999999999545,1663.125,9259.3,1119.4,2334.1500000000005,1.536808735470236,3.0,4.5,6.5,622000.0,1200000.0,1987.0,1900.0,4.522014793941529,1.0,1248.75,10745.075,499.75,1605.5349999999992
2534,0.004708652148322542,51.739258387286554,0.3195997645673926,0.32548557975279574,1.5510204081632653,0.1921510970368695,0.3761035903472631,5.956439393939394,32930.320150659136,63000.0,2008.0,1999.0,1598.0,2826.0,2.0,6.899999999999977,1791.7,10547.579999999976,1130.3,2172.6,1.5662154208357857,3.0,3.5,6.0,539000.0,902950.0,1960.0,1910.9,5.326074161271336,1.0,918.0,9314.124999999984,390.45,1198.5774999999999
2546,0.006539664486778504,52.34404321865236,0.33494455501848164,0.30992323002558997,1.6227642276422765,0.2070650574035914,0.3869775376741541,5.771271729185727,34700.90909090909,65000.0,2009.0,1997.0,1598.0,2979.0,2.0,6.0,1760.175,10601.7925,1159.75,2421.0099999999984,1.4071651976116009,3.0,4.0,6.0,557000.0,1047649.9999999998,1968.0,1920.0,5.535968154677282,1.0,987.1,11073.05,380.8,1108.6950000000002
2581,0.005249343832020997,49.75249343832024,0.22703412073490814,0.2679790026246719,1.5769805680119582,0.20973246724650446,0.3821522309711286,5.786706349206349,33999.02152641879,67000.0,2010.0,1999.0,1598.0,2979.0,2.0,5.0,1625.525,8571.15,1052.35,2139.85,1.7330708661417322,3.0,3.5,5.5,567000.0,1070000.0,1931.5,1899.0,6.066141732283465,1.0,980.0,8451.34999999999,402.725,1201.8299999999997
2601,0.0015151515151515152,49.810606060606005,0.3042929292929293,0.275,1.6591865357643758,0.23716835359645444,0.3883838383838384,5.793103448275862,32879.93138936535,64000.0,2010.0,1998.0,1598.0,2792.0,2.0,6.0,1547.9,10210.985,1074.5,2220.0300000000007,1.7654040404040403,4.0,3.5,6.0,619000.0,1394000.0,1953.0,1900.0,5.8143939393939394,1.0,1155.9,10000.0,401.85,1335.0649999999996
2701,0.010441601320676846,51.4061494015682,0.14044572843582337,0.20540652084193148,1.5976573938506589,0.14168182110550412,0.46376392901361946,6.039974884889075,36077.20891824938,70000.0,2009.0,1995.0,1598.0,2995.0,2.0,6.0,1529.35,9205.0,1042.75,2129.3750000000005,1.7336359884440775,4.0,3.0,5.5,615000.0,1417699.9999999998,1932.0,1876.0,6.856541477507222,1.0,1022.525,7900.0,379.6,1184.8400000000006
2703,0.0034494653328734047,58.12625043118328,0.31528113142462916,0.20075888237323214,1.657992565055762,0.13874132567599903,0.41186616074508453,6.2191142191142195,37746.23406720741,71000.0,2010.0,1997.0,1796.0,2993.0,2.0,6.0,1810.15,12360.119999999999,1117.4,2298.975,1.6064160055191445,4.0,4.0,6.0,628000.0,1423399.9999999998,1957.0,1912.0,4.804760262159365,1.0,1259.0,10871.179999999998,494.475,1754.4125
2761,0.003995433789954338,54.744292237443005,0.3761415525114155,0.1934931506849315,1.6189024390243902,0.1720345640219953,0.3601598173515982,5.9523809523809526,36114.44921316166,69000.0,2010.0,1997.0,1794.0,2996.8,2.0,6.0,1767.2,9443.849999999999,1161.4,2259.499999999999,1.856164383561644,4.0,4.5,6.5,542000.0,995200.0,1975.0,1911.2,4.458904109589041,1.0,1197.425,7076.282499999998,466.4,1050.4
2762,0.0030853616729516627,52.66026739801168,0.24922865958176207,0.1820363387041481,1.5648148148148149,0.14095192075380528,0.4134384641755228,6.003508771929824,35578.21552723059,69000.0,2010.0,1997.0,1686.0,2987.0,2.0,6.0,1555.2,8898.939999999997,1092.7,2227.8849999999998,1.660610215975317,4.0,3.5,6.0,567000.0,1179499.9999999998,1962.0,1884.75,5.627699691463833,1.0,1105.0,8693.064999999986,448.67499999999995,1052.5374999999997
2763,0.0030698388334612432,57.180353031465756,0.34919416730621644,0.15272448196469685,1.6278195488721805,0.14030365026380962,0.4274750575594781,5.850666666666666,40700.7874015748,82000.0,2010.0,1999.0,1796.0,3494.7499999999995,2.0,6.0,1596.675,12097.944999999976,1157.0,2328.4599999999987,1.6768994627782041,4.0,4.0,6.5,613000.0,1457499.9999999998,1976.0,1891.6,4.989255564082885,1.0,956.55,10414.999999999998,477.5,1348.3950000000002
2765,0.0021920210434020165,55.4423498465585,0.3542306006137659,0.1819377466023674,1.6240601503759398,0.14820349554934703,0.4099079351161771,5.839887640449438,41440.55944055944,86000.0,2010.0,1996.0,1798.0,3181.0,2.0,6.0,1666.75,11043.6025,1148.1999999999998,2711.499999999999,1.9083735203857957,4.0,4.0,6.5,635500.0,1546949.9999999998,1971.0,1890.0,5.134590092064884,1.0,1169.0,11939.120000000004,480.15,1415.7849999999999
2766,0.0074119827053736875,55.17109326744912,0.13712168004941322,0.1778875849289685,1.6072874493927125,0.1546470532046996,0.3983940704138357,5.892018779342723,33651.16279069767,63549.999999999956,2010.0,1998.45,1598.0,2987.0,2.0,6.0,1896.8,9843.639999999996,1071.1999999999998,1888.9099999999996,1.7924644842495367,3.0,3.5,5.5,480000.0,1040299.999999999,1937.5,1900.0,6.773316862260654,1.0,998.0,6367.509999999997,402.725,913.5999999999999
2769,0.007259528130671506,52.43799153055056,0.3103448275862069,0.19177253478523895,1.5981012658227849,0.13639739252413566,0.3956442831215971,5.925925925925926,35597.30250481696,67000.0,2010.0,1995.0,1598.0,2995.0,2.0,6.199999999999989,1669.375,8062.267499999995,1078.65,2176.87,1.7610405323653961,4.0,4.0,6.0,508000.0,1087000.0,1966.0,1906.5,5.214156079854809,1.0,1295.0,11708.0625,450.775,1159.824999999999
2770,0.0022018348623853213,54.500183486238484,0.3398165137614679,0.1944954128440367,1.5989208633093526,0.15375500761722055,0.3871559633027523,5.9749430523918,36497.17514124294,71000.0,2010.0,1996.3,1699.0,2994.3999999999996,2.0,6.0,1661.2,10804.199999999992,1071.0,2311.3699999999985,1.7273394495412844,4.0,4.0,6.0,566000.0,1243499.9999999998,1976.0,1916.4,4.761834862385321,1.0,1149.1,6719.480000000004,445.375,1052.0625
2829,0.006802721088435374,53.66817838246402,0.32464096749811033,0.24074074074074073,1.69120654396728,0.18702290076335878,0.3741496598639456,5.890642615558061,36536.91275167785,70000.0,2010.0,1998.0,1598.0,2979.0,2.0,6.0,2041.2,9982.939999999997,1111.1,2197.55,1.6455026455026456,4.0,4.0,6.5,567500.0,1274749.9999999998,1970.0,1890.0,5.035525321239607,1.0,999.0,7601.820000000002,475.875,1184.167499999999
2831,0.00474158368895211,53.10146989094346,0.3110478899952584,0.25367472735893787,1.5555555555555556,0.13056398192286262,0.3712660028449502,6.106534090909091,36786.216596343176,70500.0,2010.0,1998.0,1796.0,2984.75,2.0,5.0,1620.15,9466.604999999998,1127.9,2316.0,1.6965386439070649,4.0,3.5,6.0,539000.0,934000.0,1976.5,1904.0,4.997629208155524,1.0,953.45,8733.139999999998,446.5,1041.235
2937,0.00812407680945347,56.51107828655836,0.3412112259970458,0.20531757754800592,1.695,0.130104737196118,0.39217134416543575,6.163461538461538,36245.23809523809,69049.99999999996,2009.0,1998.0,1781.0,2987.0,2.0,5.75,1689.25,11220.255,1032.6,2096.6,1.759231905465288,4.0,4.0,6.0,527000.0,1023500.0,1950.0,1910.0,5.208271787296898,1.0,995.575,9283.209999999997,408.1,1136.12
2939,0.004346182917611489,54.96504157218442,0.35941043083900226,0.1764928193499622,1.6162657502863689,0.1463981409759876,0.40967498110355255,5.833553500660502,36304.91803278688,73000.0,2009.0,1995.0,1609.0,2987.0,2.0,6.0,1443.75,9692.475,1040.4,2172.54,1.837490551776266,4.0,4.0,6.5,548000.0,1088800.0000000007,1960.0,1900.0,5.281934996220711,1.0,950.0,8088.139999999987,414.45,1205.3799999999999
3001,0.00840122199592668,48.84597759674125,0.2914969450101833,0.1794806517311609,1.714898177920686,0.24971392244119517,0.3902749490835031,5.887534626038781,35706.915477497256,66000.0,2010.0,1999.0,1781.0,2975.0999999999985,2.0,6.0,1756.775,9829.442499999997,1161.5,2404.3549999999996,1.4159877800407332,3.0,4.5,6.5,660000.0,1215000.0,1972.0,1860.0,5.107942973523421,1.0,889.0,6539.989999999986,435.95,1358.94
3101,0.000829646017699115,51.04397123893796,0.4297566371681416,0.1963495575221239,2.0496524329692156,1.2415450643776824,0.3418141592920354,6.091568955890564,37683.860232945095,69000.0,2010.0,1998.0,1798.0,2993.0,2.0,5.0,1760.0,10689.022499999963,1270.2,2656.7,1.3918694690265487,3.0,4.5,6.5,740000.0,1445350.0,1990.0,1920.0,3.824391592920354,1.0,1040.6,6200.0,620.275,2413.675
3203,0.003497777453909495,49.36048968884347,0.16490563287910806,0.19857174087298696,1.6218523260776783,0.18180734224506828,0.42497996065000365,5.8273770846870265,35858.03264604811,69000.0,2010.0,1999.0,1618.0,2979.0,2.0,6.0,1568.55,9032.73,1109.9,2124.5849999999996,1.4770822706405304,3.0,3.5,5.5,564500.0,1252450.0,1972.0,1900.0,6.420607738832617,1.0,844.0,6404.109999999995,366.175,1021.5274999999995
3215,0.0019973368841544607,54.43408788282295,0.19174434087882822,0.27097203728362185,1.6441441441441442,0.1596513605442177,0.4174434087882823,5.74453781512605,35489.220563847426,64899.99999999998,2009.0,1997.1,1781.0,2992.3999999999996,2.0,6.0,1610.125,10197.1775,1064.2,2229.4599999999996,1.4347536617842875,3.0,3.5,5.5,585000.0,1104199.9999999998,1965.0,1896.0,6.226364846870839,1.0,1000.0,8126.4,366.75,974.5574999999999
3251,0.005645964795748921,51.35685818664888,0.4071736964463633,0.1589173032215211,1.8530416951469584,0.5264906452176954,0.40418465626037864,6.025734081161333,35065.793780687396,66000.0,2009.0,1998.0,1781.0,2979.0,2.0,6.0,1733.9499999999998,11572.95,1145.4,2210.4000000000005,1.7849551643972101,3.0,4.5,6.5,468000.0,867149.9999999999,1983.0,1919.0,3.906343407505812,1.0,1380.9,15022.55,537.1,1451.5350000000003
3340,0.0017672304973491543,52.59631406210542,0.3054784145417824,0.1989396617015905,1.6823104693140793,0.14691046658259774,0.3834890179247665,5.952589350838804,38726.086956521736,77000.0,2011.0,1999.0,1796.0,2996.0,2.0,6.0,1854.25,12777.805,1151.8,2324.3999999999983,1.6563998990154,4.0,4.0,6.0,581000.0,1478999.9999999993,1981.0,1918.2,5.133804594799293,1.0,1036.4,7048.84,449.5,1311.2199999999998
3402,0.002770083102493075,52.024469067405334,0.41228070175438597,0.19621421975992612,1.7771836007130124,0.20618752974773918,0.3605724838411819,5.881974248927039,35556.14406779661,66000.0,2010.0,1999.0,1598.0,2985.7999999999997,2.0,6.0,1789.625,11052.937499999995,1086.6,2155.899999999999,1.6195752539242845,3.0,4.5,6.5,518000.0,936649.9999999995,1976.0,1893.1,4.762234533702678,1.0,1067.05,6676.28000000001,475.0,1259.905
3408,0.0021213406873143827,52.06873143826897,0.4628765379719983,0.16885871871022487,1.7673076923076922,0.1839107365792759,0.3534153585065762,5.862419205909511,35244.014732965006,65750.0,2010.0,1999.0,1757.0,2987.0,2.0,6.0,2010.0,12167.400000000001,1188.4,2322.5300000000007,1.49851506151888,3.0,4.5,6.5,480000.0,797900.0,1980.0,1900.0,3.6847687738650827,1.0,1000.0,6631.599999999986,529.8,1270.9149999999993
